ID;ZONENUMBER;VRP_RU;ACCOUNTID;START_TIME;END_TIME;METHOD_;SAP_INITIATIONSOURCE;GPS;"(SUM((((CASE WHEN (0<BONUSPOINTSWRITEOFFSUM) THEN ((NVL(BONUSPOINTSWRITEOFFSUM,0))/100) ELSE ((NVL(BONUSPOINTSREFILLSUM,0))/100)"
1345874999;6099;Н774РА797;11519478;1775425920000;1775426400000;;legalEntitiesExternalApi;;4.67
1345903850;3105;К947ХО197;442310;1775451480000;1775455080000;sbp;iosMobileApp;;244
1345910654;0401;Х080НС797;140547;1775452320000;1775463120000;;iosMobileApp;;1350
1345881841;0318;Х330УХ799;3983848;1775439240000;1775439360000;;iosMobileApp;55.7165841535288,37.6762996509909;3.33
1345875922;0404;Т816ТЕ797;2430400;1775426820000;1775427240000;;androidMobileApp;55.767747,37.5985885;20
1345894817;6286;С931СХ790;5898960;1775449680000;1775460480000;;androidMobileApp;55.6111525,37.2960376;229.33
1345891798;6048;С734ЕЕ550;9395351;1775448840000;1775452200000;sbp;iosMobileApp;;74.66
1345904765;70049;С400ХО750;7735684;1775451600000;1775453400000;bankCard;iosMobileApp;;800
1345911932;4049;Н404ВН197;1822294;1775452500000;1775452620000;;iosMobileApp;;0.67
1345894455;4029;Т159ХА790;3424937;1775449620000;1775456820000;;iosMobileApp;55.7049855177865,37.6906027587633;80
1345886933;0411;У879НР797;11519478;1775446680000;1775446920000;;legalEntitiesExternalApi;;10
1345899906;0303;Н891АС977;2195872;1775450820000;1775454420000;;androidMobileApp;55.7557267,37.5975997;341
1345883564;4113;Х497НУ797;1410790;1775443260000;1775449800000;;iosMobileApp;55.7988036704467,37.5280277339402;108
1345888501;4058;У700НК199;8682559;1775447520000;1775451900000;;yandex;;48.67
1345896252;0306;О529ОО77;1429987;1775450040000;1775455380000;legalEntityAccount;androidMobileApp;55.7675056,37.6315951;485.67
1345872473;4065;Х337ОУ797;5999051;1775423940000;1775427540000;sbp;iosMobileApp;;80
1345896727;70012;Р146ВУ40;7786802;1775450160000;1775453760000;sms;androidMobileApp;;880
1345907398;4043;Р376РТ46;13372985;1775451960000;1775455560000;;androidMobileApp;;40
1345872198;4227;А736КК186;10407419;1775423760000;1775427360000;;iosMobileApp;;60
1345896153;4052;Х394ВА550;989209;1775450040000;1775450100000;;yandex;;0.67
1345908852;4027;Р008НК67;3297877;1775452140000;1775455740000;;androidMobileApp;;40
1345879451;4112;Р378СЕ799;3390657;1775432340000;1775432400000;;androidMobileApp;55.7819193,37.5495179;1
1345873537;3119;Н504ХУ797;2494898;1775424720000;1775428320000;;yandex;;60
1345910326;3008;Р459МА799;14134018;1775452320000;1775455920000;;androidMobileApp;;40
1345875412;4091;У918УА797;24015485;1775426340000;1775426640000;legalEntityAccount;sms;;8.01
1345900528;3106;В445СА799;169778;1775450880000;1775452620000;;androidMobileApp;55.7819167,37.6441267;38.67
1345900354;6287;В690УО77;578021;1775450880000;1775462400000;;androidMobileApp;55.9650195,37.4198064;252
1345902849;4028;Е601КЕ977;15222377;1775451300000;1775485860000;;androidMobileApp;55.7351644,37.7149394;384
1345871603;0409;Т066СЕ797;4814439;1775423400000;1775424180000;bankCard;androidMobileApp;55.7403156,37.6319485;40
1345881244;6186;Е885УС797;4695334;1775437380000;1775439420000;;androidMobileApp;55.6073351,37.2966082;33
1345889107;70031;Х362СУ750;2269922;1775447820000;1775449620000;;iosMobileApp;;300
1345895824;4038;Т598СС797;11519478;1775449980000;1775450400000;;legalEntitiesExternalApi;;4
1345882281;4222;О577СВ32;9479719;1775440560000;1775440800000;;androidMobileApp;55.8086826,37.6375838;3
1345899861;4026;Т152СР797;11080259;1775450760000;1775487600000;sbp;androidMobileApp;;818.66
1345874391;4264;М721ТВ797;24605115;1775425440000;1775429040000;sbp;androidMobileApp;;120
1345903931;0309;Е752ТМ777;516549;1775451480000;1775452260000;sms;sms;;140
1345906831;60106;Т785ЕХ977;14021212;1775451900000;1775452380000;;androidMobileApp;;4.67
1345912657;4058;О233МТ48;13066;1775452620000;1775456220000;;yandex;;40
1345893318;70006;Е319АХ550;5970421;1775449260000;1775450100000;;androidMobileApp;;43.33
1345881128;0411;С167ВН550;10900444;1775437020000;1775438820000;;iosMobileApp;55.7458861616417,37.5627999821474;100
1345888686;4236;С150УВ150;610254;1775447640000;1775465640000;sms;sms;;756
1345901099;4035;А121МК797;1782788;1775451000000;1775462400000;;iosMobileApp;55.6589273666667,37.562233;126.67
1345885350;4080;Е568АА550;6282392;1775445420000;1775456220000;;iosMobileApp;55.6737179635614,37.787944050541;120
1345876262;3008;Е230КН799;6889719;1775427180000;1775427900000;;androidMobileApp;;7.33
1345902038;4058;М399ОО134;8753472;1775451180000;1775485800000;sbp;androidMobileApp;;769.34
1345907795;3007;Т450РЕ750;3463259;1775452020000;1775476740000;;androidMobileApp;;274.67
1345901438;0309;О982ММ799;965704;1775451060000;1775452380000;;iosMobileApp;;106
1345893155;4044;У612КВ977;8322637;1775449260000;1775452860000;;iosMobileApp;55.7552087608408,37.7590649717716;40
1345890490;8508;Н383ХК32;9948345;1775448360000;1775448660000;;iosMobileApp;55.7321715,37.6704079;4
1345900677;4212;О959НО138;10179726;1775450940000;1775458140000;;iosMobileApp;;156.33
1345880446;4024;Р811НЕ977;7285863;1775434860000;1775435280000;;androidMobileApp;55.8650935,37.6027756;4
1345883270;2109;Р193РМ797;6126470;1775442840000;1775448000000;;androidMobileApp;55.7349991,37.6451333;86
1345880250;31213;О838АР154;4235082;1775433660000;1775434380000;;androidMobileApp;55.69215,37.88116;10
1345898878;70005;Т698НХ797;16428920;1775450580000;1775454180000;bankCard;androidMobileApp;55.7754186,37.5829015;313.33
1345874076;4055;К339ВЕ550;13737741;1775422800000;1775425260000;bankCard;androidMobileApp;55.5808125,37.5839086;27.34
1345909385;0510;Е987ОК164;10814477;1775452200000;1775461200000;;iosMobileApp;;1500
1345889436;4222;Е513СО790;5887410;1775447940000;1775448900000;sms;sms;;15
1345890960;4013;С643МУ197;1786877;1775448540000;1775450760000;;yandex;;24
1345872545;4058;ВУ77499;9971895;1775424000000;1775431200000;;iosMobileApp;55.6524672337069,37.503170600912;80
1345897321;0411;У750ВТ977;7995842;1775450280000;1775451060000;;androidMobileApp;55.738856,37.5477941;40
1345911703;4028;Т062СА797;11519478;1775452500000;1775456100000;;legalEntitiesExternalApi;;40
1345900884;8042;У500ВТ199;10659117;1775450940000;1775458140000;;yandex;;80
1345897761;4064;А576АА199;8927740;1775450400000;1775452140000;sbp;androidMobileApp;;37.34
1345910324;0405;Е364СТ790;6069932;1775452320000;1775455920000;sbp;iosMobileApp;;450
1345889371;0301;Н653АВ250;4027354;1775447940000;1775451120000;bankCard;iosMobileApp;;346.66
1345878590;3108;К091ЕМ797;6056852;1775430540000;1775434140000;;androidMobileApp;55.7337354,37.6743938;60
1345897069;4080;У926СО797;14488842;1775450220000;1775451540000;;yandex;;14
1345891755;11203;М680МО977;14014774;1775448780000;1775449080000;;androidMobileApp;55.4378974868338,37.7730189992868;3.33
1345884317;3119;Х331МН797;11519478;1775444340000;1775444760000;;legalEntitiesExternalApi;;6
1345875862;4080;Н848МО777;5316426;1775426760000;1775430360000;sbp;androidMobileApp;;80
1345890723;4080;А929СУ190;11973382;1775448480000;1775469660000;sbp;iosMobileApp;;470.66
1345903999;60123;У494УХ152;9382278;1775451480000;1775453280000;sbp;androidMobileApp;;40
1345896151;4093;Е857НК977;717740;1775450040000;1775450280000;;androidMobileApp;55.7075294,37.5778398;2
1345890637;60123;О774МУ977;16107986;1775448420000;1775448720000;;androidMobileApp;;2.67
1345893890;4027;Х854ХЕ799;13868311;1775449440000;1775449980000;legalEntityAccount;iosMobileApp;;10.66
1345904546;40105;М809ХН197;761261;1775451540000;1775455140000;sbp;androidMobileApp;;80
1345893250;4057;Х712ВС550;13643108;1775449260000;1775489280000;;androidMobileApp;55.6565873,37.5303552;444.67
1345895089;4066;В516УС797;5972270;1775449800000;1775450580000;;iosMobileApp;55.815539509773,37.5644814085545;8
1345884092;4217;Р027СХ799;1844844;1775444040000;1775453400000;sbp;androidMobileApp;;332
1345909526;4028;Н416УН799;14686086;1775452200000;1775455800000;sbp;androidMobileApp;;40
1345906057;4056;Т649ВР799;1537941;1775451780000;1775455380000;;iosMobileApp;;40
1345903602;3119;К191ЕЕ95;903418;1775451420000;1775458140000;bankCard;iosMobileApp;;250.5
1345901282;4083;М034УВ750;8501191;1775451060000;1775487960000;;androidMobileApp;55.668664,37.631412;410
1345885817;0406;М002НВ750;852603;1775445900000;1775451780000;sms;androidMobileApp;;678.34
1345873808;0406;О115ЕО797;6709301;1775424960000;1775426700000;;delimobil;;93.33
1345904427;40105;Е083ХЕ797;1004174;1775451540000;1775452140000;;iosMobileApp;55.6813271029584,37.4956675925299;6
1345884403;3018;В792ВУ977;9719034;1775444400000;1775480340000;;iosMobileApp;55.7219346212037,37.6965759575859;399.33
1345910190;0316;В950ВН197;404411;1775452320000;1775455920000;;androidMobileApp;;380
1345906123;6089;К163НН977;3319681;1775451780000;1775455380000;;iosMobileApp;;40
1345899886;40109;А122УР799;21067;1775450820000;1775451420000;;iosMobileApp;55.7036532283704,37.5295961883645;6
1345871046;60123;С466УТ33;29945438;1775423040000;1775448060000;bankCard;androidMobileApp;;278
1345911602;4214;К566МТ797;8567241;1775452440000;1775466840000;;iosMobileApp;;320
1345890414;0409;О270НН797;3763926;1775448360000;1775448720000;;iosMobileApp;55.7341250505681,37.6277549232286;16.67
1345883164;0411;Е798ТН799;10343187;1775442660000;1775444160000;legalEntityAccount;androidMobileApp;55.743056,37.535007;80
1345882652;4220;Т984ЕР199;3225585;1775441580000;1775442720000;;androidMobileApp;55.6988595,37.6255205;18
1345902044;0501;Х426ВК71;1009054;1775451180000;1775452500000;;iosMobileApp;55.6914120713188,37.5320093473461;163.33
1345898728;4096;В656КК977;8322629;1775450580000;1775487660000;bankCard;iosMobileApp;55.8961805507474,37.5427161031292;412
1345909185;4272;Т197ХЕ797;3026570;1775452140000;1775452320000;;androidMobileApp;;2.67
1345893907;4067;М809УС777;13371443;1775449440000;1775450340000;bankCard;iosMobileApp;;9.33
1345877718;4249;А436СН797;21064130;1775428800000;1775433540000;;androidMobileApp;55.7067776,37.75957;78
1345908966;6099;Р653УТ790;8805287;1775452140000;1775457120000;;yandex;;55.33
1345912529;60121;Х056ЕА977;1239931;1775452560000;1775456160000;;iosMobileApp;;40
1345909823;3119;К090ОО29;7912069;1775452260000;1775452500000;;androidMobileApp;;5
1345891502;8210;Н555СР177;628667;1775448720000;1775449020000;;iosMobileApp;55.7212443895249,37.6113524194307;4
1345900899;4017;О372НВ977;16410682;1775451000000;1775478540000;;yandex;;306
1345892771;4036;Т898СЕ790;6874605;1775449140000;1775449800000;;iosMobileApp;55.7515402715949,37.5113456964755;6.67
1345902893;4052;Х367ХЕ799;3824066;1775451300000;1775458500000;;iosMobileApp;55.6035141018958,37.7172650836714;80
1345885193;4025;С760АК777;9323139;1775445300000;1775445840000;;androidMobileApp;55.7895217,37.6583883;5.33
1345878994;4218;С408ТР799;11497407;1775431380000;1775468700000;;yandex;;717
1345900613;0403;У755ОС797;11519478;1775450940000;1775451120000;;legalEntitiesExternalApi;;6.67
1345887754;2109;Х148ОМ797;13660690;1775447160000;1775452740000;;androidMobileApp;55.7337519,37.6327255;104
1345887229;40113;Р996НВ977;8992588;1775446860000;1775450460000;;iosMobileApp;;40
1345897342;4015;Х385УО60;8488852;1775450280000;1775457480000;;androidMobileApp;55.7974523,37.5762194;80
1345911518;4262;Т485ВХ550;1098816;1775452440000;1775462520000;;iosMobileApp;;224
1345875891;4250;О073КС977;8098066;1775426820000;1775462400000;;iosMobileApp;55.7243444910792,37.7667648252451;653
1345884334;4015;К352ЕЕ550;14050173;1775444340000;1775445180000;;androidMobileApp;;8.67
1345906148;4096;У699АС977;4534250;1775451780000;1775455380000;;iosMobileApp;;40
1345886531;0313;О933ТУ797;5504059;1775446440000;1775451300000;;androidMobileApp;55.7892698,37.540035;266.67
1345884192;4058;В342НМ799;1349650;1775444160000;1775446980000;;yandex;;30.67
1345873086;0411;Е708ТР797;4479231;1775424360000;1775425140000;bankCard;iosMobileApp;;80
1345885975;42109;М988НК977;316972;1775446020000;1775446200000;;iosMobileApp;55.6766978584927,37.5295542390604;2
1345893842;8042;А905КС977;14398568;1775449440000;1775469540000;sbp;iosMobileApp;;446.66
1345888065;4226;У186АР77;9014735;1775447280000;1775447820000;;androidMobileApp;55.8008363,37.7085918;8
1345878364;4022;Е421НЕ977;15053682;1775430180000;1775430240000;;androidMobileApp;55.8100579683733,37.6389584527565;0.67
1345877898;70025;А819АЕ778;9977787;1775429340000;1775432940000;bankCard;iosMobileApp;;546.66
1345892782;60108;О326ХВ71;10982123;1775449140000;1775454720000;;yandex;;62
1345911860;4074;Р815ЕА550;432057;1775452500000;1775484060000;;iosMobileApp;;350.67
1345908530;4214;О013ЕУ75;3415194;1775452080000;1775455680000;bankCard;iosMobileApp;;80
1345875892;4257;А757УА797;650155;1775426820000;1775430420000;;iosMobileApp;55.6444290834213,37.5261597094399;60
1345895951;4078;О173АЕ977;102774;1775449980000;1775460780000;;parkomatika;;120
1345898006;6048;Н473НХ790;6134992;1775450460000;1775458860000;;iosMobileApp;55.6860782843636,37.8615642646625;93.33
1345890333;4005;Н122ЕА977;2291993;1775448300000;1775449800000;sbp;iosMobileApp;;32
1345887276;0301;М297УМ797;11952142;1775446860000;1775449020000;;iosMobileApp;55.7214131481136,37.5638688346986;116.67
1345901964;4044;В338АО799;4324688;1775451180000;1775451780000;;iosMobileApp;;6
1345901901;0401;М203ХЕ197;192047;1775451120000;1775452500000;;iosMobileApp;55.7257757838146,37.5623464831396;131.67
1345912759;40107;Е933НМ750;904472;1775452620000;1775460060000;;androidMobileApp;;82.67
1345871710;4268;В202НН750;8348277;1775423460000;1775425020000;sbp;iosMobileApp;;50
1345907719;0409;К010КС977;14295374;1775451960000;1775452740000;;iosMobileApp;;90
1345910438;42205;О122ВА250;2008800;1775452320000;1775455920000;;iosMobileApp;;30
1345881374;0307;А917ВС777;2517455;1775437740000;1775438280000;sms;sms;;53.34
1345894961;0409;В021ВВ150;6440659;1775449740000;1775452500000;;iosMobileApp;;215.83
1345894538;3207;А443КН799;6163164;1775449620000;1775485080000;bankCard;androidMobileApp;55.7714933,37.6751467;777
1345874945;3108;Е430КЕ799;8291838;1775422800000;1775427660000;sbp;iosMobileApp;;162
1345893517;3119;К223УЕ797;14291622;1775449320000;1775459940000;sbp;iosMobileApp;;721
1345889149;60108;С324УЕ797;9694599;1775447760000;1775448120000;;androidMobileApp;55.5379933,37.5136183;3.34
1345898490;3218;Р194АО550;417697;1775450520000;1775451300000;legalEntityAccount;androidMobileApp;55.7144977,37.6719669;12
1345897131;3206;Н638ВН550;10056588;1775450220000;1775455260000;legalEntityAccount;androidMobileApp;;208.66
1345903159;0407;А828МР77;3754503;1775451360000;1775462400000;legalEntityAccount;androidMobileApp;;2726.66
1345890486;0403;Р597АН550;2157906;1775448360000;1775448720000;legalEntityAccount;androidMobileApp;55.7620861,37.5938097;16.67
1345880970;6048;М754МК797;11519478;1775436420000;1775436600000;;legalEntitiesExternalApi;;1.33
1345912669;3019;Т301МС977;8146136;1775452620000;1775452800000;legalEntityAccount;androidMobileApp;;1.33
1345893305;60123;О839НК977;9432024;1775449260000;1775449920000;;iosMobileApp;55.5677001541008,37.4886863354325;6.67
1345900351;4016;А301ВМ550;5793985;1775450880000;1775487480000;;iosMobileApp;55.7951613231896,37.6032470728181;406.67
1345889328;70006;Р247КА977;102774;1775447880000;1775448300000;;parkomatika;;80
1345905562;4057;К246ОК977;6768351;1775451720000;1775452260000;;androidMobileApp;;5.33
1345900816;4048;К101СЕ797;8440429;1775450940000;1775462400000;legalEntityAccount;iosMobileApp;;381.99
1345898309;3619;У669КК977;10378515;1775450520000;1775451480000;;iosMobileApp;55.7146249166043,37.6172849610715;0
1345886131;4013;М909КЕ550;727576;1775446140000;1775452260000;;iosMobileApp;55.7853922532824,37.5417165580748;67.34
1345906390;3116;М990ВВ799;2726601;1775451840000;1775458620000;bankCard;iosMobileApp;;257.5
1345891819;4217;Н405ЕС550;5304655;1775448840000;1775449260000;;androidMobileApp;;6
1345886831;3007;Х666НС67;9368001;1775446620000;1775481000000;;iosMobileApp;55.7658110328315,37.6826232151487;382
1345885497;31210;К274СЕ750;2604851;1775445600000;1775451480000;;iosMobileApp;55.6896196556483,37.8642373573052;48.5
1345892443;0306;У294ВВ71;9263237;1775449020000;1775449440000;;androidMobileApp;55.7328851,37.6592613;20
1345900344;60121;А848ТВ797;7649680;1775450880000;1775452560000;;iosMobileApp;56.0011690808982,37.2112614009876;18
1345897026;6090;Х702ВУ250;10222157;1775450220000;1775476860000;;iosMobileApp;55.9825922579737,37.211736042314;296
1345913755;4226;О422ТР797;8900047;1775452740000;1775456340000;bankCard;androidMobileApp;;80
1345901168;0401;С573УК97;742072;1775451000000;1775451900000;bankCard;androidMobileApp;;63.33
1345874796;4054;К154КС797;9551756;1775424480000;1775425920000;sbp;iosMobileApp;;30.68
1345891874;4097;РТ70377;11119475;1775448000000;1775448900000;;androidMobileApp;;10
1345907801;0401;У882ЕО799;123428;1775452020000;1775452680000;;androidMobileApp;;75
1345888085;4026;Р199ТО797;11804545;1775447280000;1775448420000;;androidMobileApp;55.8017299206878,37.7066931680966;12
1345898930;8041;Т116ОР161;10405005;1775450640000;1775454240000;;yandex;;40
1345872497;0406;Т166УО799;7894560;1775423940000;1775425620000;;legalEntitiesWebClient;;90
1345887524;4061;В970СМ797;10841288;1775447040000;1775447460000;;iosMobileApp;55.7288906258119,37.4119039625278;4
1345890123;3205;О970ВО750;5220095;1775448240000;1775462400000;;androidMobileApp;55.781,37.641315;296
1345910044;4227;А473ВУ797;2943186;1775451600000;1775452320000;;iosMobileApp;;16
1345882147;0306;Т955ТВ199;854388;1775440200000;1775443800000;;iosMobileApp;;200
1345883927;0306;А105СЕ797;4661309;1775443800000;1775444940000;bankCard;androidMobileApp;;60
1345910842;4047;К903ТХ790;3515039;1775452380000;1775459580000;;androidMobileApp;;80
1345888870;4218M;А972ВС550;9413039;1775447700000;1775457120000;bankCard;androidMobileApp;0,0;187.67
1345897067;4274;В899ВЕ777;2613680;1775450220000;1775473200000;;androidMobileApp;;503
1345875933;6287;НО35077;3509580;1775426160000;1775426940000;;androidMobileApp;55.97363,37.4319583;13
1345889579;0302;О762МУ977;7684477;1775448000000;1775452680000;legalEntityAccount;androidMobileApp;;615.34
1345872993;6086;К881ВС550;15144881;1775424300000;1775424900000;;androidMobileApp;55.604736,37.2964755;6
1345871281;0308;У183ХР797;10286593;1775423160000;1775453520000;bankCard;iosMobileApp;;1782.67
1345889740;6086;Т909ТС790;9798280;1775448060000;1775448600000;;androidMobileApp;55.6047263,37.2965717;5.33
1345882504;70008;К989ВО550;13657225;1775441220000;1775445540000;;androidMobileApp;55.6325937,37.4150055;18
1345911786;4007;С456РР797;6349231;1775452500000;1775456100000;;androidMobileApp;;40
1345902900;0401;С008КК77;228728;1775451300000;1775454900000;bankCard;iosMobileApp;;429.17
1345896072;4019;Х485ХА797;1479803;1775450040000;1775450280000;;iosMobileApp;55.6954861055443,37.6638763449517;2
1345878340;70025;В922ХВ797;9808669;1775430120000;1775432880000;sbp;iosMobileApp;;300
1345901754;0305;М457ОК797;11766873;1775451120000;1775458320000;;androidMobileApp;;736
